TimeValue1;TimeValue2;RealPower;UnitOfMeasure
18.05.2014 18:45:41;18.05.2014 18:45:51;78,62091;W
18.05.2014 18:45:51;18.05.2014 18:46:01;76,97082;W
18.05.2014 18:46:01;18.05.2014 18:46:12;76,18546;W
18.05.2014 18:46:12;18.05.2014 18:46:22;77,53086;W
18.05.2014 18:46:22;18.05.2014 18:46:32;78,4471;W
18.05.2014 18:46:32;18.05.2014 18:46:43;76,6983;W
18.05.2014 18:46:43;18.05.2014 18:46:53;77,57163;W
18.05.2014 18:46:53;18.05.2014 18:47:03;77,80552;W
18.05.2014 18:47:03;18.05.2014 18:47:13;75,9666;W
18.05.2014 18:47:13;18.05.2014 18:47:24;77,26264;W
18.05.2014 18:47:24;18.05.2014 18:47:34;77,53086;W
18.05.2014 18:47:34;18.05.2014 18:47:44;77,46434;W
18.05.2014 18:47:44;18.05.2014 18:47:55;77,46863;W
18.05.2014 18:47:55;18.05.2014 18:48:05;75,7091;W
18.05.2014 18:48:05;18.05.2014 18:48:15;76,29061;W
18.05.2014 18:48:15;18.05.2014 18:48:25;74,11909;W
18.05.2014 18:48:25;18.05.2014 18:48:35;73,37451;W
18.05.2014 18:48:35;18.05.2014 18:48:46;75,28853;W
18.05.2014 18:48:46;18.05.2014 18:48:56;75,24347;W
18.05.2014 18:48:56;18.05.2014 18:49:06;75,31214;W
18.05.2014 18:49:06;18.05.2014 18:49:16;75,08254;W
18.05.2014 18:49:16;18.05.2014 18:49:27;75,24347;W
18.05.2014 18:49:27;18.05.2014 18:49:37;75,55246;W
18.05.2014 18:49:37;18.05.2014 18:49:47;73,24362;W
18.05.2014 18:49:47;18.05.2014 18:49:57;75,41299;W
18.05.2014 18:49:57;18.05.2014 18:50:07;73,68994;W
18.05.2014 18:50:07;18.05.2014 18:50:18;71,6064;W
18.05.2014 18:50:18;18.05.2014 18:50:28;74,32723;W
18.05.2014 18:50:28;18.05.2014 18:50:38;74,77784;W
18.05.2014 18:50:38;18.05.2014 18:50:49;74,65982;W
18.05.2014 18:50:49;18.05.2014 18:50:59;73,41957;W
18.05.2014 18:50:59;18.05.2014 18:51:09;74,58043;W
18.05.2014 18:51:09;18.05.2014 18:51:19;74,99027;W
18.05.2014 18:51:19;18.05.2014 18:51:29;73,11273;W
18.05.2014 18:51:29;18.05.2014 18:51:40;74,5697;W
18.05.2014 18:51:40;18.05.2014 18:51:50;73,80581;W
18.05.2014 18:51:50;18.05.2014 18:52:00;73,41742;W
18.05.2014 18:52:00;18.05.2014 18:52:11;72,4411;W
18.05.2014 18:52:11;18.05.2014 18:52:21;73,8101;W
18.05.2014 18:52:21;18.05.2014 18:52:31;74,13626;W
18.05.2014 18:52:31;18.05.2014 18:52:41;71,97332;W
18.05.2014 18:52:41;18.05.2014 18:52:51;73,89593;W
18.05.2014 18:52:51;18.05.2014 18:53:02;74,02253;W
18.05.2014 18:53:02;18.05.2014 18:53:12;74,0118;W
18.05.2014 18:53:12;18.05.2014 18:53:22;72,36385;W
18.05.2014 18:53:22;18.05.2014 18:53:32;73,41957;W
18.05.2014 18:53:32;18.05.2014 18:53:43;74,12124;W
18.05.2014 18:53:43;18.05.2014 18:53:53;73,87662;W
18.05.2014 18:53:53;18.05.2014 18:54:03;72,70288;W
18.05.2014 18:54:03;18.05.2014 18:54:13;73,99464;W
18.05.2014 18:54:13;18.05.2014 18:54:23;74,04614;W
18.05.2014 18:54:23;18.05.2014 18:54:34;71,97762;W
18.05.2014 18:54:34;18.05.2014 18:54:44;73,82727;W
18.05.2014 18:54:44;18.05.2014 18:54:54;74,00107;W
18.05.2014 18:54:54;18.05.2014 18:55:04;73,82512;W
18.05.2014 18:55:04;18.05.2014 18:55:15;73,39811;W
18.05.2014 18:55:15;18.05.2014 18:55:25;73,87447;W
18.05.2014 18:55:25;18.05.2014 18:55:35;73,59767;W
18.05.2014 18:55:35;18.05.2014 18:55:45;71,9862;W
18.05.2014 18:55:45;18.05.2014 18:55:55;73,29726;W
18.05.2014 18:55:55;18.05.2014 18:56:06;73,6599;W
18.05.2014 18:56:06;18.05.2014 18:56:16;73,89808;W
18.05.2014 18:56:16;18.05.2014 18:56:26;73,63629;W
18.05.2014 18:56:26;18.05.2014 18:56:37;73,92812;W
18.05.2014 18:56:37;18.05.2014 18:56:47;74,12124;W
18.05.2014 18:56:47;18.05.2014 18:56:57;72,03984;W
18.05.2014 18:56:57;18.05.2014 18:57:07;73,94528;W
18.05.2014 18:57:07;18.05.2014 18:57:17;74,15986;W
18.05.2014 18:57:17;18.05.2014 18:57:28;71,9862;W
18.05.2014 18:57:28;18.05.2014 18:57:38;73,2007;W
18.05.2014 18:57:38;18.05.2014 18:57:48;74,00751;W
18.05.2014 18:57:48;18.05.2014 18:57:59;74,09978;W
18.05.2014 18:57:59;18.05.2014 18:58:09;72,81446;W
18.05.2014 18:58:09;18.05.2014 18:58:19;73,78864;W
18.05.2014 18:58:19;18.05.2014 18:58:29;74,08905;W
18.05.2014 18:58:29;18.05.2014 18:58:39;72,82949;W
