TimeValue1;TimeValue2;RealPower;UnitOfMeasure
17.05.2014 16:27:41;17.05.2014 16:27:51;102,44966;W
17.05.2014 16:27:51;17.05.2014 16:28:01;101,56775;W
17.05.2014 16:28:01;17.05.2014 16:28:12;101,95613;W
17.05.2014 16:28:12;17.05.2014 16:28:22;101,11499;W
17.05.2014 16:28:22;17.05.2014 16:28:32;100,26097;W
17.05.2014 16:28:32;17.05.2014 16:28:43;101,09568;W
17.05.2014 16:28:43;17.05.2014 16:28:53;101,04632;W
17.05.2014 16:28:53;17.05.2014 16:29:03;99,56145;W
17.05.2014 16:29:03;17.05.2014 16:29:13;99,89834;W
17.05.2014 16:29:13;17.05.2014 16:29:24;105,15118;W
17.05.2014 16:29:24;17.05.2014 16:29:34;101,5377;W
17.05.2014 16:29:34;17.05.2014 16:29:44;99,25032;W
17.05.2014 16:29:44;17.05.2014 16:29:55;96,78483;W
17.05.2014 16:29:55;17.05.2014 16:30:05;98,171;W
17.05.2014 16:30:05;17.05.2014 16:30:15;97,47791;W
17.05.2014 16:30:15;17.05.2014 16:30:25;102,05483;W
17.05.2014 16:30:25;17.05.2014 16:30:35;97,70322;W
17.05.2014 16:30:35;17.05.2014 16:30:46;96,78054;W
17.05.2014 16:30:46;17.05.2014 16:30:56;94,99955;W
17.05.2014 16:30:56;17.05.2014 16:31:06;96,1132;W
17.05.2014 16:31:06;17.05.2014 16:31:16;99,72239;W
17.05.2014 16:31:16;17.05.2014 16:31:27;94,97595;W
17.05.2014 16:31:27;17.05.2014 16:31:37;95,22915;W
17.05.2014 16:31:37;17.05.2014 16:31:47;94,23137;W
17.05.2014 16:31:47;17.05.2014 16:31:57;92,0856;W
17.05.2014 16:31:57;17.05.2014 16:32:08;92,3903;W
17.05.2014 16:32:08;17.05.2014 16:32:18;96,68827;W
17.05.2014 16:32:18;17.05.2014 16:32:28;93,48249;W
17.05.2014 16:32:28;17.05.2014 16:32:38;94,04254;W
17.05.2014 16:32:38;17.05.2014 16:32:49;91,93111;W
17.05.2014 16:32:49;17.05.2014 16:32:59;91,96329;W
17.05.2014 16:32:59;17.05.2014 16:33:09;92,09633;W
17.05.2014 16:33:09;17.05.2014 16:33:19;89,18023;W
17.05.2014 16:33:19;17.05.2014 16:33:30;90,85822;W
17.05.2014 16:33:30;17.05.2014 16:33:40;92,39674;W
17.05.2014 16:33:40;17.05.2014 16:33:50;91,05349;W
17.05.2014 16:33:50;17.05.2014 16:34:00;91,49551;W
17.05.2014 16:34:00;17.05.2014 16:34:11;87,56018;W
17.05.2014 16:34:11;17.05.2014 16:34:21;88,73177;W
17.05.2014 16:34:21;17.05.2014 16:34:31;89,99348;W
